"number","short_description","u_approving_sdm","start_date","state","assigned_to","approval","assignment_group","backout_plan","location","sys_created_on","category","ci_class","u_closure_code","closed_at"
"CHG0527238","Warwick HQ/UK - Network ZSCALER ZT-400s SD-WAN Project Cutover - Multi PSP - TCS Child change","Martichuski, Jonathan","2025-02-21 03:00:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Included below 

Migration Steps 
Disable Zscaler interfaces
Change static route
Validate access to WAN

Item	Responsible	Status	Notes
Console/Mgmt. access to HW	Customer
	
Configure WAN interface	Customer
	
Configure proxy settings	Zscaler
	
Hardware activation	Zscaler
	
VLAN configuration/staging	Zscaler
	
Routing / PBR settings	ZS/Customer
	
Policy migration	Zscaler
	Migration from existing FW
Disable SVI/ Add routes	ZS/Customer
	
Traffic verification	ZS/Customer
	
Device visibility & flow checks	ZS/Customer
	
Verify Intra VLAN traffic	ZS/Customer
	
Verify Inter VLAN traffic	ZS/Customer
	
Learning report generation	Zscaler
	



Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
30 min included in the plan

","10610 - Warwick - United Kingdom","2025-02-20 05:26:50","Network","Switch","Successful","2025-03-26 04:48:44"
"CHG0527237","EMEA: Warwick HQ/UK - Network ZSCALER ZT-400s SD-WAN Project Cutover - Multi PSP - DXC Child change","Martichuski, Jonathan","2025-02-21 03:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Included below 

Migration Steps 
Disable Zscaler interfaces
Change static route
Validate access to WAN

Item	Responsible	Status	Notes
Console/Mgmt. access to HW	Customer
	
Configure WAN interface	Customer
	
Configure proxy settings	Zscaler
	
Hardware activation	Zscaler
	
VLAN configuration/staging	Zscaler
	
Routing / PBR settings	ZS/Customer
	
Policy migration	Zscaler
	Migration from existing FW
Disable SVI/ Add routes	ZS/Customer
	
Traffic verification	ZS/Customer
	
Device visibility & flow checks	ZS/Customer
	
Verify Intra VLAN traffic	ZS/Customer
	
Verify Inter VLAN traffic	ZS/Customer
	
Learning report generation	Zscaler
	



Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
30 min included in the plan

","10610 - Warwick - United Kingdom","2025-02-20 05:23:15","Network","Switch","Successful","2025-03-27 11:06:37"
"CHG0527223","EMEA  - Blois - Request for Temp Admin Right on AZREUWPMSPAP001  - DXC Child change","","2025-02-21 07:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Revoking access
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Backup is not required only need temp admin rights.","20005 - Azure Europe West","2025-02-19 04:41:41","Hardware","Windows Server","Successful","2025-04-16 07:21:08"
"CHG0527210","EMEA  - Blois - Request for Temp Admin Right on AZREUWPMSPAP001  - Phinia Parent Change","","2025-02-21 07:00:00","Closed Complete","Veerubhotla, Srinivasa","Approved","Change Coordinator_PHINIA","Q. Mention step by step procedure of back out plan.  
Revoking access
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Backup is not required only need temp admin rights.","20005 - Azure Europe West","2025-02-18 11:13:08","Hardware","Windows Server","Successful","2025-04-14 12:06:27"
"CHG0526679","EMEA | Arrange temp admin permission on server UKSTOP-DB01 to copy some backup files to it - Single PSP DXC change","","2025-02-21 11:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Ans: Revoke the permission again.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans- 0.5 hours (Yes)","00282 - Stonehouse - United Kingdom","2025-01-10 04:44:19","Hardware","All Servers","Successful","2025-04-11 10:11:25"
"CHG0527174","EMEA - 20030 Rzeszow Poland - Power Outage - Multi-PSP (TCS LAN Child change)","Wojcik, Rafal","2025-02-22 01:20:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.
All the servers will be turned on and TCS and DXC Team will perform the health check.  

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
 Yes, 1 hour for pre health check","20030 - Rzeszow - Poland","2025-02-18 05:44:17","Hardware","All Servers","Successful","2025-03-31 02:59:05"
"CHG0527175","EMEA - 20030 Rzeszow Poland - Power Outage - Multi-PSP (DXC Child change)","Wojcik, Rafal","2025-02-22 01:20:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.
All the servers will be turned on and TCS and DXC Team will perform the health check.  

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
 Yes, 1 hour for pre health check","20030 - Rzeszow - Poland","2025-02-18 05:47:06","Hardware","All Servers","Successful","2025-04-16 07:16:28"
"CHG0527170","EMEA - 20030 Rzeszow Poland - Power Outage - Multi-PSP (PHINIA Parent change)","Wojcik, Rafal","2025-02-22 01:20:00","Closed Complete","Veerubhotla, Srinivasa","Approved","Change Coordinator_PHINIA","Q. Mention step by step procedure of back out plan.
All the servers will be turned on and TCS and DXC Team will perform the health check.  

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
 Yes, 1 hour for pre health check","20030 - Rzeszow - Poland","2025-02-18 05:23:51","Hardware","All Servers","Successful","2025-03-26 04:53:55"
"CHG0527273","EMEA - 20028 Technical Center Krakow - UPS system test - Multi-PSP (PHINIA Parent change)","Wojcik, Rafal","2025-02-26 02:00:00","Closed Complete","Veerubhotla, Srinivasa","Approved","Change Coordinator_PHINIA","Q. Mention step by step procedure of back out plan.  
Continuously monitor critical systems during the UPS test to detect any anomalies. If issues aruse, immediately switch back to the main power supply to restore normal operations.
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
10 minutes","20028 - Technical Center Krakow","2025-02-25 06:14:11","Hardware","All Servers","Successful","2025-03-03 10:29:09"
"CHG0527274","EMEA - 20028 Technical Center Krakow - UPS system test - Multi-PSP (TCS LAN Child change)","Wojcik, Rafal","2025-02-26 02:00:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Continuously monitor critical systems during the UPS test to detect any anomalies. If issues aruse, immediately switch back to the main power supply to restore normal operations.
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
10 minutes","20028 - Technical Center Krakow","2025-02-25 06:31:51","Hardware","All Servers","Successful","2025-03-31 03:04:25"
"CHG0527277","EMEA - 20028 Technical Center Krakow - UPS system test - Multi-PSP  (DXC Child change)","Wojcik, Rafal","2025-02-26 02:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Continuously monitor critical systems during the UPS test to detect any anomalies. If issues aruse, immediately switch back to the main power supply to restore normal operations.
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
10 minutes (Yes)","20028 - Technical Center Krakow","2025-02-25 06:36:32","Hardware","All Servers","Successful","2025-03-27 11:25:18"
"CHG0527219","EMEA | SRQ0054728: Arrange temp admin permission to prepare for the application migration-Single PSP DXC change","","2025-02-26 09:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan. 
Ans-: Revoke their permission.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-: 3 hours (Yes).","20005 - Azure Europe West","2025-02-19 04:20:04","Hardware","All Servers","Successful","2025-03-21 10:15:12"
"CHG0527087","Enterprise| SRQ0054733\SRQ0054486\SRQ0054738: put new built server to production-Single PSP DXC change","Chava, Sri, Gavara, Naveen","2025-02-27 02:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan. 
Ans-: Keep the server at pre-production.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-: 3 hours (Yes).","10671 - Amsterdam CoLocation","2025-02-10 07:12:35","Hardware","All Servers","Successful","2025-03-21 10:20:23"
"CHG0527264","Enterprise: Implementation of CMG certificates in SCCM Primary-Single PSP DXC change","","2025-02-28 08:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Roll back to the previous state

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
1 hr (Yes).
","10671 - Amsterdam CoLocation","2025-02-24 09:39:33","Hardware","Windows Server","Successful","2025-03-18 12:36:28"
"CHG0526776","Enterprise: Pre- Approved: Apply MS Security patches (February - 2025) on Production Servers (4th weekend)- Reboot required - DXC Parent Change","","2025-02-28 21:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan. 
Ans-  Upon RCA if required patches to be uninstalled
Notify the customer and stakeholders and update the RCA details in the Change Tasks.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-  
Minimum : 30 Min.
Maximum : Depends on the unforeseen issue. This might extend out side of the change window. this would happen in a very rare scenario and will be limited to one or two servers only.","20005 - Azure Europe West","2025-01-18 12:15:01","Hardware","Windows Server","Successful","2025-03-21 13:12:31"
"CHG0526777","Enterprise: Pre- Approved: Apply MS Security patches (February - 2025) on Production Servers (4th weekend)- Reboot required - TCS child change","","2025-02-28 21:30:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Ans-  Upon RCA if required patches to be uninstalled
Notify the customer and stakeholders and update the RCA details in the Change Tasks.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-  
Minimum : 30 Min.
Maximum : Depends on the unforeseen issue. This might extend out side of the change window. this would happen in a very rare scenario and will be limited to one or two servers only.","20005 - Azure Europe West","2025-01-18 12:19:21","Software","ADM Applications","Successful","2025-03-31 04:12:31"
"CHG0527124","Enterprise - Delphidrive to PHINIA Domain Migration - CTCM/Miami CoLocation/Amsterdam CoLocation-DT - Multi PSP DXC Parent Change","Chava, Sri, Gavara, Naveen, Dmochowski, Arthur","2025-03-02 07:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Add the Host back to the delphdrive.com
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
2 hr (yes)","10671 - Amsterdam CoLocation","2025-02-12 02:27:49","Hardware","All Servers","Successful","2025-03-26 02:57:38"
"CHG0527126","Enterprise - Delphidrive to PHINIA Domain Migration - CTCM/Miami CoLocation/Amsterdam CoLocation-DT - Multi PSP Phinia Child Change","Chava, Sri, Gavara, Naveen, Dmochowski, Arthur","2025-03-02 07:30:00","Closed Complete","Veerubhotla, Srinivasa","Approved","Change Coordinator_PHINIA","Q. Mention step by step procedure of back out plan.  
Add the Host back to the delphdrive.com
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
2 hr (yes)","10671 - Amsterdam CoLocation","2025-02-12 02:29:31","Hardware","All Servers","Successful","2025-03-27 03:33:35"
"CHG0527125","Enterprise - Delphidrive to PHINIA Domain Migration - CTCM/Miami CoLocation/Amsterdam CoLocation-DT - Multi PSP TCS Child Change","Chava, Sri, Gavara, Naveen, Dmochowski, Arthur","2025-03-02 07:30:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Add the Host back to the delphdrive.com
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
2 hr (yes)","10671 - Amsterdam CoLocation","2025-02-12 02:28:42","Hardware","All Servers","Successful","2025-03-31 04:14:04"
"CHG0527240","EMEA: Warwick Titan/UK - Network ZSCALER ZT-400s SD-WAN Project Cutover - Multi PSP - DXC Child change","Martichuski, Jonathan","2025-03-05 05:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Included below 

Migration Steps 
Disable Zscaler interfaces
Change static route
Validate access to WAN

Item	Responsible	Status	Notes
Console/Mgmt. access to HW	Customer
	
Configure WAN interface	Customer
	
Configure proxy settings	Zscaler
	
Hardware activation	Zscaler
	
VLAN configuration/staging	Zscaler
	
Routing / PBR settings	ZS/Customer
	
Policy migration	Zscaler
	Migration from existing FW
Disable SVI/ Add routes	ZS/Customer
	
Traffic verification	ZS/Customer
	
Device visibility & flow checks	ZS/Customer
	
Verify Intra VLAN traffic	ZS/Customer
	
Verify Inter VLAN traffic	ZS/Customer
	
Learning report generation	Zscaler
	



Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
30 min included in the plan

","10646 - Warwick (Titan) - United Kingdom","2025-02-20 07:53:26","Network","Switch","Successful","2025-03-26 10:25:07"
"CHG0527241","Warwick Titan/UK - Network ZSCALER ZT-400s SD-WAN Project Cutover - Multi PSP - TCS Child change","Martichuski, Jonathan","2025-03-05 05:00:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Included below 

Migration Steps 
Disable Zscaler interfaces
Change static route
Validate access to WAN

Item	Responsible	Status	Notes
Console/Mgmt. access to HW	Customer
	
Configure WAN interface	Customer
	
Configure proxy settings	Zscaler
	
Hardware activation	Zscaler
	
VLAN configuration/staging	Zscaler
	
Routing / PBR settings	ZS/Customer
	
Policy migration	Zscaler
	Migration from existing FW
Disable SVI/ Add routes	ZS/Customer
	
Traffic verification	ZS/Customer
	
Device visibility & flow checks	ZS/Customer
	
Verify Intra VLAN traffic	ZS/Customer
	
Verify Inter VLAN traffic	ZS/Customer
	
Learning report generation	Zscaler
	



Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
30 min included in the plan

","10646 - Warwick (Titan) - United Kingdom","2025-02-20 08:18:01","Network","Switch","Successful","2025-03-26 04:51:18"
"CHG0527239","Warwick (Titan)/UK  - Network ZSCALER ZT-400s SD-WAN Project Cutover - Multi PSP PHINIA","Martichuski, Jonathan, Proyer, Damon","2025-03-05 05:00:00","Closed Complete","Bhuvanagiri, Manasa","Approved","Change Coordinator_PHINIA","Q. Mention step by step procedure of back out plan.  
Included below 

Migration Steps 
Disable Zscaler interfaces
Change static route
Validate access to WAN

Item	Responsible	Status	Notes
Console/Mgmt. access to HW	Customer
	
Configure WAN interface	Customer
	
Configure proxy settings	Zscaler
	
Hardware activation	Zscaler
	
VLAN configuration/staging	Zscaler
	
Routing / PBR settings	ZS/Customer
	
Policy migration	Zscaler
	Migration from existing FW
Disable SVI/ Add routes	ZS/Customer
	
Traffic verification	ZS/Customer
	
Device visibility & flow checks	ZS/Customer
	
Verify Intra VLAN traffic	ZS/Customer
	
Verify Inter VLAN traffic	ZS/Customer
	
Learning report generation	Zscaler
	



Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
30 min included in the plan

","10646 - Warwick (Titan) - United Kingdom","2025-02-20 07:37:24","Network","Switch","Successful","2025-03-24 12:58:34"
"CHG0527345","EMEA  - Blois - Request for Temp Admin Right on AZREUWPMSPAP001  - DXC Child change","","2025-03-05 07:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Revoking access
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Backup is not required only need temp admin rights.","20005 - Azure Europe West","2025-03-03 11:00:42","Hardware","Windows Server","Successful","2025-04-16 07:19:34"
"CHG0527356","EMEA  - Blois - Request for Temp Admin Right on AZREUWPMSPAP001  - Phinia Parent Change","","2025-03-05 07:00:00","Closed Complete","Veerubhotla, Srinivasa","Approved","Change Coordinator_PHINIA","Q. Mention step by step procedure of back out plan.  
Revoking access
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Backup is not required only need temp admin rights.
","20005 - Azure Europe West","2025-03-03 10:55:43","Hardware","Windows Server","Successful","2025-04-14 11:18:07"
"CHG0527300","Enterprise: CCU Monthly - Database Backup and Restore  & Provide temporary admin rights to server AZUREUW-DB018 - Single PSP DXC change","","2025-03-05 07:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
- Copy last used database.
- Replace new database with previous one.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
3 Hrs, Included.","20005 - Azure Europe West","2025-02-27 00:47:26","Hardware","All Servers","Successful","2025-03-18 12:24:52"
"CHG0527413","EMEA - 20028 Technical Center Krakow -  Main Power Shutdown Test - Multi-PSP (TCS LAN Child change) - Standby Support","Wojcik, Rafal","2025-03-07 00:30:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Continuously monitor critical systems during the test. If issues aruse, immediately switch back to the alternative power supply to restore normal operations.
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
20 minutes","20028 - Technical Center Krakow","2025-03-05 09:03:10","Hardware","All Servers","Successful","2025-03-31 04:14:57"
"CHG0527415","EMEA - 20028 Technical Center Krakow -  Main Power Shutdown Test - Multi-PSP (DXC Child change) - Standby support","Wojcik, Rafal","2025-03-07 00:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Continuously monitor critical systems during the test. If issues aruse, immediately switch back to the alternative power supply to restore normal operations.
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
20 minutes (yes)","20028 - Technical Center Krakow","2025-03-05 09:09:00","Hardware","All Servers","Successful","2025-03-26 10:26:27"
"CHG0527406","EMEA - 20028 Technical Center Krakow -  Main Power Shutdown Test - Multi-PSP (PHINIA Parent change) - Standby Support ","Wojcik, Rafal","2025-03-07 00:30:00","Closed Complete","Bhuvanagiri, Manasa","Approved","Change Coordinator_PHINIA","Q. Mention step by step procedure of back out plan.  
Continuously monitor critical systems during the test. If issues aruse, immediately switch back to the alternative power supply to restore normal operations.
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
20 minutes","20028 - Technical Center Krakow","2025-03-05 08:12:09","Hardware","All Servers","Successful","2025-03-24 03:26:17"
"CHG0527129","Enterprise - Delphidrive to PHINIA Domain Migration - Bucharest/Warwick/STONESHOUSE- Multi PSP DXC Parent Change","Glynn, Colman, Proyer, Damon","2025-03-07 05:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Add the Host back to the delphdrive.com
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
2 hr (yes)","10657 - Bucharest - Romania","2025-02-12 02:32:55","Hardware","All Servers","Successful","2025-03-26 02:47:29"
"CHG0527187","Enterprise - Delphidrive to PHINIA Domain Migration - Bucharest/Warwick/STONESHOUSE- Multi PSP Phinia Child Change","Glynn, Colman, Proyer, Damon","2025-03-07 05:00:00","Closed Complete","Bhuvanagiri, Manasa","Approved","Change Coordinator_PHINIA","Q. Mention step by step procedure of back out plan.  
Add the Host back to the delphdrive.com
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
2 hr (yes)","10657 - Bucharest - Romania","2025-02-18 08:41:43","Hardware","All Servers","Successful","2025-03-27 05:07:53"
"CHG0527130","Enterprise - Delphidrive to PHINIA Domain Migration - Bucharest/Warwick/STONESHOUSE- Multi PSP TCS Child Change","Glynn, Colman, Proyer, Damon","2025-03-07 05:00:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Add the Host back to the delphdrive.com
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
2 hr (yes)","10657 - Bucharest - Romania","2025-02-12 02:33:42","Hardware","All Servers","Successful","2025-04-01 06:44:29"
"CHG0527368","Belval/Luxemburg - Network ZSCALER ZT-400s SD-WAN Project Cutover - Multi PSP PHINIA","Martichuski, Jonathan, Gauthier, Guillaume","2025-03-07 06:00:00","Closed Complete","Bhuvanagiri, Manasa","Approved","Change Coordinator_PHINIA","Q. Mention step by step procedure of back out plan.  
Included below 

Migration Steps 
Disable Zscaler interfaces
Change static route
Validate access to WAN

Item	Responsible	Status	Notes
Console/Mgmt. access to HW	Customer
	
Configure WAN interface	Customer
	
Configure proxy settings	Zscaler
	
Hardware activation	Zscaler
	
VLAN configuration/staging	Zscaler
	
Routing / PBR settings	ZS/Customer
	
Policy migration	Zscaler
	Migration from existing FW
Disable SVI/ Add routes	ZS/Customer
	
Traffic verification	ZS/Customer
	
Device visibility & flow checks	ZS/Customer
	
Verify Intra VLAN traffic	ZS/Customer
	
Verify Inter VLAN traffic	ZS/Customer
	
Learning report generation	Zscaler
	



Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
30 min included in the plan

","20034 - Belval - Luxembourg","2025-03-04 08:40:24","Network","Switch","Successful","2025-03-24 13:03:09"
"CHG0527375","Belval/Luxemburg - Network ZSCALER ZT-400s SD-WAN Project Cutover - Multi PSP - TCS Child change","Martichuski, Jonathan, Gauthier, Guillaume","2025-03-07 06:00:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Included below 

Migration Steps 
Disable Zscaler interfaces
Change static route
Validate access to WAN

Item	Responsible	Status	Notes
Console/Mgmt. access to HW	Customer
	
Configure WAN interface	Customer
	
Configure proxy settings	Zscaler
	
Hardware activation	Zscaler
	
VLAN configuration/staging	Zscaler
	
Routing / PBR settings	ZS/Customer
	
Policy migration	Zscaler
	Migration from existing FW
Disable SVI/ Add routes	ZS/Customer
	
Traffic verification	ZS/Customer
	
Device visibility & flow checks	ZS/Customer
	
Verify Intra VLAN traffic	ZS/Customer
	
Verify Inter VLAN traffic	ZS/Customer
	
Learning report generation	Zscaler
	



Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
30 min included in the plan

","20034 - Belval - Luxembourg","2025-03-04 10:07:07","Network","Switch","Successful","2025-03-26 04:58:18"
"CHG0527374","EMEA: Belval/Luxemburg - Network ZSCALER ZT-400s SD-WAN Project Cutover - Multi PSP - DXC Child change","Martichuski, Jonathan, Gauthier, Guillaume","2025-03-07 06:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Included below 

Migration Steps 
Disable Zscaler interfaces
Change static route
Validate access to WAN

Item	Responsible	Status	Notes
Console/Mgmt. access to HW	Customer
	
Configure WAN interface	Customer
	
Configure proxy settings	Zscaler
	
Hardware activation	Zscaler
	
VLAN configuration/staging	Zscaler
	
Routing / PBR settings	ZS/Customer
	
Policy migration	Zscaler
	Migration from existing FW
Disable SVI/ Add routes	ZS/Customer
	
Traffic verification	ZS/Customer
	
Device visibility & flow checks	ZS/Customer
	
Verify Intra VLAN traffic	ZS/Customer
	
Verify Inter VLAN traffic	ZS/Customer
	
Learning report generation	Zscaler
	



Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
30 min included in the plan

","20034 - Belval - Luxembourg","2025-03-04 10:03:18","Network","Switch","Successful","2025-03-27 11:28:19"
"CHG0527109","Global -SCCM Infrastructure upgrade to version 2403 v 5.00.9128.1007-Single PSP DXC change","Cucia, Lucian Sebastian, Chava, Sri","2025-03-07 21:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.
 Revert the server  - NLNHSRKP-CM01.phinia.local to the snapshot taken prior to SCCM upgrade. 

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  2 hrs. (yes).","10671 - Amsterdam CoLocation","2025-02-11 06:10:04","Hardware","All Servers","Successful","2025-03-18 12:38:15"
"CHG0527229","Enterprise- Pre-Approved Apply MS Security patches (February -2025) on DT BigFix infra prod server - Reboot required - DXC Single PSP Change","","2025-03-07 21:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Ans-  Upon RCA if required patches to be uninstalled
Notify the customer and stakeholders and update the RCA details in the Change Tasks.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-  
Minimum : 30 Min. (including)
Maximum : Depends on the unforeseen issue. This might extend out side of the change window. this would happen in a very rare scenario and will be limited to one or two servers only.","10671 - Amsterdam CoLocation","2025-02-19 13:47:37","Hardware","Windows Server","Successful","2025-03-21 13:09:32"
"CHG0527190","Enterprise - Delphidrive to PHINIA Domain Migration - Amsterdam/BLOIS/ Bangalore - Multi PSP DXC Parent Change","Chava, Sri, Gauthier, Guillaume, Krishnan, Lijesh","2025-03-08 03:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Add the Host back to the delphdrive.com
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
2 hr (yes)","10671 - Amsterdam CoLocation","2025-02-18 08:48:06","Hardware","All Servers","Successful","2025-03-25 08:09:49"
"CHG0527192","Enterprise - Delphidrive to PHINIA Domain Migration - Amsterdam/BLOIS/ Bangalore - Multi PSP Phinia Child Change","Chava, Sri, Gauthier, Guillaume, Krishnan, Lijesh","2025-03-08 03:00:00","Closed Complete","Bhuvanagiri, Manasa","Approved","Change Coordinator_PHINIA","Q. Mention step by step procedure of back out plan.  
Add the Host back to the delphdrive.com
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
2 hr (yes)","10671 - Amsterdam CoLocation","2025-02-18 08:49:32","Hardware","All Servers","Successful","2025-03-27 10:22:58"
"CHG0527367","Global - PH1- restart httpd server for production content server DXC Single PSP Change","Naqvi, Masooma","2025-03-09 00:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
 Clean restart httpd server for production content sever 

Q. What is the duration required to perform the backout plan and is it included in the scheduled window? 
20 Mins, Yes! 
","20005 - Azure Europe West","2025-03-04 08:02:32","Hardware","All Servers","Successful","2025-03-19 02:52:04"
"CHG0526996","EMEA - Scopes migration from delphidrive DHCP server to new PHINIA  DHCP server - TCS Single PSP","Cazan, Anca","2025-03-11 13:00:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Ans. After the activity, if any issues reported, we would revert the DHCP scopes

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans. 1 hour, yes 
","10657 - Bucharest - Romania","2025-01-31 07:28:30","Network","IP Switch","Successful","2025-04-01 06:47:57"
"CHG0527390","Global - Need to migrate the development server   to PHINIA domain  - TCS Parent Change","","2025-03-12 00:30:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
DXC will rollback the change

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
5 hrs. Yes.","10657 - Bucharest - Romania","2025-03-05 06:01:24","Software","ADM Applications","Successful","2025-03-26 06:43:29"
"CHG0527396","Global - Need to migrate the development server   to PHINIA domain  - DXC Child Change","","2025-03-12 00:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
DXC will rollback the change

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
5 hrs. Yes.","10657 - Bucharest - Romania","2025-03-05 06:04:18","Hardware","All Servers","Successful","2025-03-26 07:21:20"
